id,level,unit,kind,promptLine,correct,correctText
hsk1-001,HSK1,,vocab,nǐ hǎo — 你好,A,Hello
hsk1-002,HSK1,,vocab,zài jiàn — 再见,B,Goodbye
hsk1-003,HSK1,,vocab,xiè xie — 谢谢,C,Thank you
hsk1-004,HSK1,,vocab,wǒ — 我,C,I/Me
hsk1-005,HSK1,,vocab,nǐ — 你,B,You
hsk1-006,HSK1,,vocab,tā — 他,C,He/Him
hsk1-007,HSK1,,vocab,shì — 是,A,To be
hsk1-008,HSK1,,vocab,yǒu — 有,B,To have
hsk1-009,HSK1,,vocab,bù — 不,B,Not/No
hsk1-010,HSK1,,vocab,de — 的,A,Marks possession
hsk1-011,HSK1,,vocab,men — 们,B,Makes pronouns plural
hsk1-012,HSK1,,vocab,hěn — 很,B,Very
hsk1-013,HSK1,,vocab,yě — 也,C,Also/Too
hsk1-014,HSK1,,vocab,rén — 人,A,Person
hsk1-015,HSK1,,vocab,zhōng guó — 中国,B,China
hsk1-016,HSK1,,vocab,míng zi — 名字,B,Name
hsk1-017,HSK1,,vocab,shén me — 什么,C,What
hsk1-018,HSK1,,vocab,shuí — 谁,B,Who
hsk1-019,HSK1,,vocab,nǎ — 哪,C,Which
hsk1-020,HSK1,,vocab,zhè — 这,B,This
hsk1-021,HSK1,,vocab,nà — 那,C,That
hsk1-022,HSK1,,vocab,yī — 一,A,One
hsk1-023,HSK1,,vocab,èr — 二,B,Two
hsk1-024,HSK1,,vocab,sān — 三,B,Three
hsk1-025,HSK1,,vocab,sì — 四,B,Four
hsk1-026,HSK1,,vocab,wǔ — 五,B,Five
hsk1-027,HSK1,,vocab,liù — 六,B,Six
hsk1-028,HSK1,,vocab,qī — 七,B,Seven
hsk1-029,HSK1,,vocab,bā — 八,B,Eight
hsk1-030,HSK1,,vocab,jiǔ — 九,B,Nine
hsk1-031,HSK1,,vocab,shí — 十,B,Ten
hsk1-032,HSK1,,vocab,ài — 爱,C,To love
hsk1-033,HSK1,,vocab,chī — 吃,B,To eat
hsk1-034,HSK1,,vocab,hē — 喝,B,To drink
hsk1-035,HSK1,,phrase,duì bu qǐ — 对不起,B,Sorry
hsk1-036,HSK1,,phrase,méi guān xi — 没关系,B,It doesn't matter
hsk1-037,HSK1,,sentence,wǒ ài nǐ — 我爱你,B,I love you
hsk1-038,HSK1,,vocab,lái — 来,B,To come
hsk1-039,HSK1,,vocab,qù — 去,B,To go
hsk1-040,HSK1,,contrast,lái vs qù — 来 vs 去,B,"来 = to come, 去 = to go"
hsk1-041,HSK1,,vocab,dà — 大,B,Big
hsk1-042,HSK1,,vocab,xiǎo — 小,B,Small
hsk1-043,HSK1,,contrast,dà vs xiǎo — 大 vs 小,B,"大 = big, 小 = small (opposites)"
hsk1-044,HSK1,,vocab,hǎo — 好,B,Good
hsk1-045,HSK1,,vocab,duō — 多,B,Many/Much
hsk1-046,HSK1,,vocab,shǎo — 少,B,Few/Little
hsk1-047,HSK1,,contrast,duō vs shǎo — 多 vs 少,B,"多 = many, 少 = few (opposites)"
hsk1-048,HSK1,,sentence,nǐ hǎo ma — 你好吗,B,How are you?
hsk1-049,HSK1,,sentence,wǒ hěn hǎo — 我很好,B,I'm very good/well
hsk1-050,HSK1,,phrase,bú kè qi — 不客气,B,You're welcome
hsk1-051,HSK1,,vocab,kàn — 看,B,To look/watch
hsk1-052,HSK1,,vocab,tīng — 听,C,To listen
hsk1-053,HSK1,,vocab,shuō — 说,C,To speak
hsk1-054,HSK1,,vocab,xiě — 写,C,To write
hsk1-055,HSK1,,vocab,dú — 读,B,To read
hsk1-056,HSK1,,vocab,zuò — 坐,B,To sit
hsk1-057,HSK1,,vocab,zhàn — 站,C,To stand
hsk1-058,HSK1,,contrast,zuò vs zhàn — 坐 vs 站,A,"坐 = to sit, 站 = to stand"
hsk1-059,HSK1,,vocab,rèn shi — 认识,B,To know (people)
hsk1-060,HSK1,,vocab,zhī dào — 知道,B,To know (facts)
hsk1-061,HSK1,,contrast,zhī dào vs rèn shi — 知道 vs 认识,B,"知道 = know facts, 认识 = know people"
hsk1-062,HSK1,,vocab,huì — 会,B,To can/know how to
hsk1-063,HSK1,,vocab,néng — 能,A,To be able to/can
hsk1-064,HSK1,,vocab,xiǎng — 想,A,To think/want
hsk1-065,HSK1,,vocab,mǎi — 买,B,To buy
hsk1-066,HSK1,,vocab,mài — 卖,B,To sell
hsk1-067,HSK1,,contrast,mǎi vs mài — 买 vs 卖,B,"买 = to buy, 卖 = to sell"
hsk1-068,HSK1,,vocab,kāi — 开,B,To open
hsk1-069,HSK1,,vocab,guān — 关,C,To close
hsk1-070,HSK1,,vocab,xuésheng — 学生,B,Student
hsk1-071,HSK1,,vocab,lǎo shī — 老师,B,Teacher
hsk1-072,HSK1,,vocab,yī shēng — 医生,C,Doctor
hsk1-073,HSK1,,vocab,péng you — 朋友,B,Friend
hsk1-074,HSK1,,vocab,jiā — 家,C,Home/Family
hsk1-075,HSK1,,vocab,xué xiào — 学校,B,School
hsk1-076,HSK1,,vocab,shāng diàn — 商店,B,Store/Shop
hsk1-077,HSK1,,vocab,fàn diàn — 饭店,C,Restaurant
hsk1-078,HSK1,,vocab,shuǐ — 水,B,Water
hsk1-079,HSK1,,vocab,chá — 茶,C,Tea
hsk1-080,HSK1,,vocab,mǐ fàn — 米饭,B,Rice
hsk1-081,HSK1,,vocab,miàn tiáo — 面条,B,Noodles
hsk1-082,HSK1,,vocab,cài — 菜,C,Dish/Vegetable
hsk1-083,HSK1,,vocab,píng guǒ — 苹果,B,Apple
hsk1-084,HSK1,,vocab,jīn tiān — 今天,B,Today
hsk1-085,HSK1,,vocab,míng tiān — 明天,C,Tomorrow
hsk1-086,HSK1,,vocab,zuó tiān — 昨天,C,Yesterday
hsk1-087,HSK1,,vocab,xiàn zài — 现在,C,Now
hsk1-088,HSK1,,vocab,nián — 年,C,Year
hsk1-089,HSK1,,vocab,yuè — 月,B,Month/Moon
hsk1-090,HSK1,,vocab,tiān — 天,B,Sky/Day
hsk1-091,HSK1,,vocab,xīng qī — 星期,B,Week
hsk1-092,HSK1,,vocab,shàng wǔ — 上午,B,Morning
hsk1-093,HSK1,,vocab,xià wǔ — 下午,B,Afternoon
hsk1-094,HSK1,,contrast,shàng wǔ vs xià wǔ — 上午 vs 下午,B,"上午 = morning, 下午 = afternoon"
hsk1-095,HSK1,,sentence,nǐ chī fàn le ma — 你吃饭了吗,B,Have you eaten?
hsk1-096,HSK1,,sentence,wǒ qù xuéxiào — 我去学校,B,I go to school
hsk1-097,HSK1,,sentence,tā shì xuésheng — 她是学生,B,She is a student
hsk1-098,HSK1,,phrase,duō shao qián — 多少钱,B,How much money?
hsk1-099,HSK1,,phrase,zài nǎr — 在哪儿,C,Where is it?
hsk1-100,HSK1,,sentence,wǒ bù zhī dào — 我不知道,B,I don't know
hsk1-101,HSK1,,vocab,běn — 本,C,Measure word for books
hsk1-102,HSK1,,vocab,bēi — 杯,B,Cup
hsk1-103,HSK1,,vocab,cài — 菜,A,Dish/Vegetable
hsk1-104,HSK1,,vocab,diǎn — 点,C,O'clock
hsk1-105,HSK1,,vocab,diàn nǎo — 电脑,B,Computer
hsk1-106,HSK1,,vocab,diàn shì — 电视,B,Television
hsk1-107,HSK1,,vocab,diàn yǐng — 电影,C,Movie
hsk1-108,HSK1,,vocab,dōng xi — 东西,B,Thing/Stuff
hsk1-109,HSK1,,vocab,duì — 对,B,Right/Correct
hsk1-110,HSK1,,vocab,duō — 多,B,Many/Much
hsk1-111,HSK1,,vocab,ér zi — 儿子,B,Son
hsk1-112,HSK1,,vocab,fàn guǎn — 饭馆,B,Restaurant
hsk1-113,HSK1,,vocab,gāo xìng — 高兴,C,Happy
hsk1-114,HSK1,,vocab,gè — 个,B,General measure word
hsk1-115,HSK1,,vocab,gōng zuò — 工作,B,Work/Job
hsk1-116,HSK1,,vocab,guì — 贵,B,Expensive
hsk1-117,HSK1,,vocab,guó jiā — 国家,B,Country/Nation
hsk1-118,HSK1,,vocab,hàn yǔ — 汉语,B,Chinese language
hsk1-119,HSK1,,vocab,hòu miàn — 后面,B,Behind/Back
hsk1-120,HSK1,,vocab,huí — 回,B,Return
hsk1-121,HSK1,,vocab,jǐ — 几,B,How many
hsk1-122,HSK1,,vocab,jiā — 家,B,Home/Family
hsk1-123,HSK1,,vocab,jiào — 叫,B,Call/Be called
hsk1-124,HSK1,,vocab,jīn tiān — 今天,B,Today
hsk1-125,HSK1,,vocab,kāi — 开,B,Open
hsk1-126,HSK1,,vocab,kàn jiàn — 看见,B,See/Catch sight of
hsk1-127,HSK1,,vocab,kuài — 块,B,Yuan (informal)
hsk1-128,HSK1,,vocab,lěng — 冷,B,Cold
hsk1-129,HSK1,,vocab,lǐ miàn — 里面,B,Inside
hsk1-130,HSK1,,vocab,liǎng — 两,B,Two (with measure words)
hsk1-131,HSK1,,vocab,máng — 忙,B,Busy
hsk1-132,HSK1,,vocab,māo — 猫,B,Cat
hsk1-133,HSK1,,vocab,méi — 没,B,Not/Don't have
hsk1-134,HSK1,,vocab,mèi mei — 妹妹,B,Younger sister
hsk1-135,HSK1,,vocab,nán — 男,B,Male
hsk1-136,HSK1,,vocab,ne — 呢,B,Question particle
hsk1-137,HSK1,,vocab,nián — 年,B,Year
hsk1-138,HSK1,,vocab,nǚ ér — 女儿,B,Daughter
hsk1-139,HSK1,,vocab,piào liang — 漂亮,B,Beautiful/Pretty
hsk1-140,HSK1,,vocab,píng guǒ — 苹果,B,Apple
hsk1-141,HSK1,,vocab,qǐng — 请,B,Please
hsk1-142,HSK1,,vocab,qián miàn — 前面,B,Front
hsk1-143,HSK1,,vocab,qián — 钱,B,Money
hsk1-144,HSK1,,vocab,rè — 热,B,Hot
hsk1-145,HSK1,,vocab,rì — 日,B,Day/Sun
hsk1-146,HSK1,,vocab,shàng miàn — 上面,B,Above/On top
hsk1-147,HSK1,,vocab,shēng rì — 生日,B,Birthday
hsk1-148,HSK1,,vocab,shí hou — 时候,B,Time/Moment
hsk1-149,HSK1,,vocab,shū — 书,B,Book
hsk1-150,HSK1,,vocab,shuǐ — 水,B,Water
hsk1-151,HSK1,,phrase,nǐ jiào shén me míng zi — 你叫什么名字,A,What's your name?
hsk1-152,HSK1,,sentence,wǒ jiào... — 我叫...,B,My name is...
hsk1-153,HSK1,,phrase,zài nǎ lǐ — 在哪里,B,Where?
hsk1-154,HSK1,,sentence,wǒ yào... — 我要...,C,I want...
hsk1-155,HSK1,,sentence,wǒ méi yǒu... — 我没有...,A,I don't have...
hsk1-156,HSK1,,phrase,zhè shì shén me — 这是什么,A,What is this?
hsk1-157,HSK1,,sentence,duō shao qián — 多少钱,B,How much money?
hsk1-158,HSK1,,phrase,rèn shi nǐ hěn gāo xìng — 认识你很高兴,B,Nice to meet you
hsk1-159,HSK1,,sentence,wǒ bù zhī dào — 我不知道,B,I don't know
hsk1-160,HSK1,,phrase,qǐng wèn — 请问,B,Excuse me / May I ask
hsk2-001,HSK2,,vocab,bān — 班,A,class
hsk2-002,HSK2,,vocab,bāng zhù — 帮助,B,to help
hsk2-003,HSK2,,vocab,bào zhǐ — 报纸,C,newspaper
hsk2-004,HSK2,,vocab,bǐ — 比,A,than/to compare
hsk2-005,HSK2,,vocab,bié — 别,B,don't
hsk2-006,HSK2,,vocab,cháng — 长,B,long
hsk2-007,HSK2,,vocab,chàng gē — 唱歌,B,to sing
hsk2-008,HSK2,,vocab,chuān — 穿,C,to wear
hsk2-009,HSK2,,vocab,cì — 次,A,time/occasion
hsk2-010,HSK2,,vocab,cōng míng — 聪明,B,smart/clever
hsk2-011,HSK2,,vocab,dān xīn — 担心,B,to worry
hsk2-012,HSK2,,vocab,dào — 到,B,to arrive
hsk2-013,HSK2,,vocab,dì tiě — 地铁,C,subway
hsk2-014,HSK2,,vocab,dǒng — 懂,C,to understand
hsk2-015,HSK2,,vocab,duàn liàn — 锻炼,B,to exercise
hsk2-016,HSK2,,vocab,fā xiàn — 发现,B,to discover
hsk2-017,HSK2,,vocab,gǎn jué — 感觉,B,feeling
hsk2-018,HSK2,,vocab,gāng cái — 刚才,B,just now
hsk2-019,HSK2,,vocab,gào sù — 告诉,B,to tell
hsk2-020,HSK2,,vocab,gēn — 跟,B,with
hsk2-021,HSK2,,vocab,guò — 过,A,to pass/to cross
hsk2-022,HSK2,,vocab,hái shì — 还是,B,or
hsk2-023,HSK2,,vocab,hēi — 黑,B,black
hsk2-024,HSK2,,vocab,huā — 花,C,flower
hsk2-025,HSK2,,vocab,huà — 画,B,to draw
hsk2-026,HSK2,,vocab,yīn wèi — 因为,B,because
hsk2-027,HSK2,,vocab,suǒ yǐ — 所以,C,so / therefore
hsk2-028,HSK2,,vocab,jué de — 觉得,C,to feel / think
hsk2-029,HSK2,,vocab,kāi shǐ — 开始,B,to start
hsk2-030,HSK2,,vocab,jié shù — 结束,C,to finish
hsk2-031,HSK2,,vocab,bāng zhù — 帮助,B,to help
hsk2-032,HSK2,,vocab,yì qǐ — 一起,B,together
hsk2-033,HSK2,,vocab,yǐ jīng — 已经,C,already
hsk2-034,HSK2,,vocab,zhèng zài — 正在,C,in the process of
hsk2-035,HSK2,,vocab,bǐ jiào — 比较,C,comparatively / rather
hsk1b-days-001,HSK1b,days,vocab,xīng qī yī — 星期一,A,Monday
hsk1b-days-002,HSK1b,days,vocab,xīng qī èr — 星期二,B,Tuesday
hsk1b-days-003,HSK1b,days,vocab,xīng qī sān — 星期三,B,Wednesday
hsk1b-days-004,HSK1b,days,vocab,xīng qī sì — 星期四,B,Thursday
hsk1b-days-005,HSK1b,days,vocab,xīng qī wǔ — 星期五,B,Friday
hsk1b-days-006,HSK1b,days,vocab,xīng qī liù — 星期六,C,Saturday
hsk1b-days-007,HSK1b,days,vocab,xīng qī rì — 星期日,C,Sunday
hsk1b-months-001,HSK1b,months,vocab,yī yuè — 一月,A,January
hsk1b-months-002,HSK1b,months,vocab,èr yuè — 二月,B,February
hsk1b-months-003,HSK1b,months,vocab,sān yuè — 三月,B,March
hsk1b-months-004,HSK1b,months,vocab,sì yuè — 四月,B,April
hsk1b-months-005,HSK1b,months,vocab,wǔ yuè — 五月,B,May
hsk1b-months-006,HSK1b,months,vocab,liù yuè — 六月,B,June
hsk1b-months-007,HSK1b,months,vocab,qī yuè — 七月,B,July
hsk1b-months-008,HSK1b,months,vocab,bā yuè — 八月,B,August
hsk1b-months-009,HSK1b,months,vocab,jiǔ yuè — 九月,B,September
hsk1b-months-010,HSK1b,months,vocab,shí yuè — 十月,B,October
hsk1b-months-011,HSK1b,months,vocab,shí yī yuè — 十一月,B,November
hsk1b-months-012,HSK1b,months,vocab,shí èr yuè — 十二月,C,December
hsk1b-countries-001,HSK1b,countries,vocab,zhōng guó — 中国,A,China
hsk1b-countries-002,HSK1b,countries,vocab,měi guó — 美国,B,United States
hsk1b-countries-003,HSK1b,countries,vocab,rì běn — 日本,B,Japan
hsk1b-countries-004,HSK1b,countries,vocab,hán guó — 韩国,C,South Korea
hsk1b-countries-005,HSK1b,countries,vocab,yīng guó — 英国,B,United Kingdom
hsk1b-countries-006,HSK1b,countries,vocab,fǎ guó — 法国,B,France
hsk1b-countries-007,HSK1b,countries,vocab,dé guó — 德国,B,Germany
hsk1b-countries-008,HSK1b,countries,vocab,jiā ná dà — 加拿大,B,Canada
hsk1b-countries-009,HSK1b,countries,vocab,ào dà lì yà — 澳大利亚,B,Australia
hsk1b-countries-010,HSK1b,countries,vocab,xī bān yá — 西班牙,B,Spain
hsk1b-colors-001,HSK1b,colors,vocab,hóng — 红,A,red
hsk1b-colors-002,HSK1b,colors,vocab,lán — 蓝,B,blue
hsk1b-colors-003,HSK1b,colors,vocab,bái — 白,A,white
hsk1b-colors-004,HSK1b,colors,vocab,hēi — 黑,B,black
hsk1b-colors-005,HSK1b,colors,vocab,lǜ — 绿,B,green
hsk1b-colors-006,HSK1b,colors,vocab,huáng — 黄,C,yellow
hsk1b-colors-007,HSK1b,colors,vocab,huī — 灰,C,gray
hsk1b-colors-008,HSK1b,colors,vocab,fěn hóng — 粉红,B,pink
hsk1b-family-001,HSK1b,family,vocab,gē ge — 哥哥,A,older brother
hsk1b-family-002,HSK1b,family,vocab,jiě jie — 姐姐,B,older sister
hsk1b-family-003,HSK1b,family,vocab,dì di — 弟弟,B,younger brother
hsk1b-family-004,HSK1b,family,vocab,mèi mei — 妹妹,B,younger sister
hsk1b-family-005,HSK1b,family,vocab,yé ye — 爷爷,B,grandfather
hsk1b-family-006,HSK1b,family,vocab,nǎi nai — 奶奶,B,grandmother
hsk1b-places-001,HSK1b,places,vocab,yín háng — 银行,A,bank
hsk1b-places-002,HSK1b,places,vocab,gōng sī — 公司,B,company
hsk1b-places-003,HSK1b,places,vocab,chāo shì — 超市,B,supermarket
hsk1b-places-004,HSK1b,places,vocab,jī chǎng — 机场,B,airport
hsk1b-places-005,HSK1b,places,vocab,yī yuàn — 医院,A,hospital
hsk1b-places-006,HSK1b,places,vocab,chē zhàn — 车站,B,station
hsk1b-places-007,HSK1b,places,vocab,diàn yǐng yuàn — 电影院,B,movie theater
hsk1b-places-008,HSK1b,places,vocab,tú shū guǎn — 图书馆,B,library
hsk1p-001,HSK1-PHRASE,,phrase,nǐ jiào shén me míng zi — 你叫什么名字,A,What's your name?
hsk1p-002,HSK1-PHRASE,,phrase,wǒ bù míng bai — 我不明白,B,I don't understand
hsk1p-003,HSK1-PHRASE,,phrase,qǐng zài shuō yí biàn — 请再说一遍,A,Please say it again
hsk1p-004,HSK1-PHRASE,,phrase,duō shao qián — 多少钱,A,How much is it?
hsk1p-005,HSK1-PHRASE,,phrase,méi wèn tí — 没问题,A,No problem
hsk1p-006,HSK1-PHRASE,,phrase,zài nǎ lǐ — 在哪里,A,Where is it?
hsk1p-007,HSK1-PHRASE,,phrase,wǒ yào zhè ge — 我要这个,A,I want this one
hsk1p-008,HSK1-PHRASE,,phrase,qǐng wèn — 请问,A,Excuse me / May I ask
hsk1p-009,HSK1-PHRASE,,phrase,nǐ hǎo ma — 你好吗,A,How are you?
hsk1p-010,HSK1-PHRASE,,phrase,wǒ méi yǒu qián — 我没有钱,A,I don't have money
hsk1p-011,HSK1-PHRASE,,phrase,zhè shì shén me — 这是什么,A,What is this?
hsk1p-012,HSK1-PHRASE,,phrase,rèn shi nǐ hěn gāo xìng — 认识你很高兴,A,Nice to meet you
hsk1p-013,HSK1-PHRASE,,phrase,wǒ hěn hǎo — 我很好,A,I'm very well
hsk1p-014,HSK1-PHRASE,,phrase,nǐ huì shuō zhōng wén ma — 你会说中文吗,A,Can you speak Chinese?
hsk1p-015,HSK1-PHRASE,,phrase,bù hǎo yì si — 不好意思,A,Excuse me / Sorry
hsk1p-016,HSK1-PHRASE,,phrase,wǒ xiǎng hē shuǐ — 我想喝水,A,I want to drink water
hsk1p-017,HSK1-PHRASE,,phrase,nǐ shì nǎ lǐ rén — 你是哪里人,A,Where are you from?
hsk1p-018,HSK1-PHRASE,,phrase,tài guì le — 太贵了,A,Too expensive
hsk1p-019,HSK1-PHRASE,,phrase,wǒ huí jiā — 我回家,A,I'm going home
hsk1p-020,HSK1-PHRASE,,phrase,nǐ chī le ma — 你吃了吗,A,Have you eaten?
hsk1c-001,HSK1c,,phrase,lěng — 冷,B,Cold
hsk1c-002,HSK1c,,phrase,rè — 热,C,Hot
hsk1c-003,HSK1c,,phrase,lèi — 累,C,Tired
hsk1c-004,HSK1c,,phrase,è — 饿,B,Hungry
hsk1c-005,HSK1c,,phrase,kě — 渴,B,Thirsty
hsk1c-006,HSK1c,,phrase,máng — 忙,C,Busy
hsk1c-007,HSK1c,,phrase,guì — 贵,C,Expensive
hsk1c-008,HSK1c,,phrase,pián yi — 便宜,C,Cheap
hsk1c-009,HSK1c,,phrase,gāo — 高,B,Tall
hsk1c-010,HSK1c,,phrase,ǎi — 矮,B,Short
hsk1c-011,HSK1c,,phrase,cháng — 长,C,Long
hsk1c-012,HSK1c,,phrase,duǎn — 短,C,Short
hsk1c-013,HSK1c,,phrase,kuài — 快,B,Fast
hsk1c-014,HSK1c,,phrase,màn — 慢,B,Slow
hsk1c-015,HSK1c,,phrase,xīn — 新,C,New
hsk1c-016,HSK1c,,phrase,jiù — 旧,B,Old
hsk1c-017,HSK1c,,phrase,duō — 多,B,Many
hsk1c-018,HSK1c,,phrase,shǎo — 少,B,Few
hsk1c-019,HSK1c,,phrase,pàng — 胖,B,Fat
hsk1c-020,HSK1c,,phrase,shòu — 瘦,B,Thin
hsk1c-021,HSK1c,,phrase,yuǎn — 远,B,Far
hsk1c-022,HSK1c,,phrase,jìn — 近,B,Near
hsk1c-023,HSK1c,,phrase,zǎo — 早,B,Early
hsk1c-024,HSK1c,,phrase,wǎn — 晚,B,Late
hsk1c-025,HSK1c,,phrase,nán — 难,B,Difficult